row;dB_at_idle;dB_at_50kmh;dB_at_80kmh;dB_at_100kmh;dB_at_120kmh;dB_at_140kmh
0;47.3;58.2;67.0;70.2;72.9;76.0
1;49.9;65.7;69.0;72.3;73.1;75.8
2;41.7;51.7;57.9;61.2;64.0;66.8
3;43.0;54.4;61.5;65.5;67.7;69.9
4;43.6;55.5;63.0;66.9;70.2;73.5
5;39.5;49.7;56.0;59.3;62.4;65.6
6;42.2;51.1;56.7;59.4;62.6;65.9
7;40.2;54.5;63.3;68.6;70.1;71.7
8;39.9;48.4;53.8;56.2;60.2;64.2
9;42.2;54.0;61.2;65.2;67.9;70.5
10;42.4;54.3;61.7;65.5;69.0;72.6
11;48.8;56.7;61.7;64.2;66.6;69.1
12;44.9;55.2;63.5;67.0;69.1;71.4
13;44.5;54.8;63.0;67.2;68.5;70.2
14;44.5;54.8;63.0;67.2;68.5;70.2
15;50.1;75.2;76.1;76.9;81.3;83.3
16;44.9;59.8;63.5;67.3;69.1;72.7
17;47.9;60.8;64.0;67.3;70.1;73.7
18;41.1;52.6;58.9;65.8;68.2;70.8
19;44.1;60.5;64.0;66.0;68.5;71.5
20;43.7;53.8;61.9;66.2;67.3;68.8
21;42.1;58.8;61.1;63.5;66.5;68.3
22;45.2;55.7;64.0;68.0;69.6;71.6
23;46.9;56.5;61.8;66.8;69.2;70.8
24;47.1;56.1;61.5;66.3;68.7;70.8
25;41.9;51.5;59.2;63.8;64.4;65.3
26;45.1;55.5;63.8;68.5;69.4;70.7
27;46.6;57.4;66.0;70.3;71.7;73.5
28;42.0;62.3;66.4;68.5;72.9;75.7
29;42.9;57.8;61.0;64.3;66.2;69.6
30;43.9;53.8;58.3;61.7;67.6;67.7
31;43.9;54.8;61.5;65.5;67.1;68.8
32;52.2;58.1;62.2;63.1;68.6;74.1
33;39.4;62.2;64.4;66.8;69.1;71.9
34;38.2;59.1;63.3;66.1;69.1;71.3
35;39.1;53.1;59.8;68.3;70.7;72.8
36;46.9;56.0;62.0;67.3;69.7;72.8
37;46.1;62.0;63.0;65.0;68.0;68.2
38;45.0;55.4;63.7;68.6;69.2;70.2
39;39.9;60.3;65.5;67.8;70.9;72.9
40;36.6;61.5;65.0;66.5;68.0;69.9
41;37.1;58.5;64.0;65.4;68.3;71.6
42;38.2;57.6;61.4;62.5;65.1;68.1
43;44.5;58.0;62.7;65.9;68.7;70.7
44;47.2;58.2;61.2;65.2;67.9;70.6
45;43.0;53.0;60.9;63.5;66.3;69.5
46;40.4;51.7;58.6;62.5;64.9;67.2
47;39.2;55.6;60.2;64.4;67.4;71.3
48;42.5;54.0;59.5;62.9;65.5;70.4
49;39.9;56.8;59.5;62.2;66.2;69.6
50;40.0;57.6;62.1;65.7;69.9;72.6
51;42.9;59.8;62.0;64.3;67.2;70.6
52;45.9;55.0;60.5;65.3;67.7;69.8
53;42.9;55.0;61.0;67.8;70.2;71.8
54;41.6;57.8;61.5;64.3;66.4;69.7
55;43.2;53.1;61.1;65.2;66.4;68.0
56;44.3;54.5;62.7;64.8;68.2;72.0
57;43.9;53.8;59.9;63.1;65.8;68.4
58;45.5;56.0;64.4;67.4;70.1;73.2
59;42.8;52.6;60.5;64.4;65.8;67.6
60;43.6;53.6;61.6;63.7;67.1;70.9
61;42.9;57.2;60.9;63.3;66.0;69.3
62;44.4;54.0;59.9;63.2;65.2;67.2
63;43.2;53.2;59.4;62.9;64.7;66.4
64;41.0;55.2;59.1;62.9;66.6;68.3
65;41.6;55.2;59.6;63.9;66.3;68.1
66;45.2;54.3;58.6;61.6;64.9;68.6
67;43.8;55.5;60.9;63.7;67.4;70.6
68;40.9;56.8;59.0;61.2;64.1;67.4
69;42.9;54.8;58.0;61.2;64.3;67.6
70;44.9;56.8;59.5;62.2;64.3;67.6
71;44.1;54.3;62.5;67.6;67.9;68.5
72;42.8;52.6;60.5;64.0;65.8;68.0
73;39.6;61.5;63.2;66.6;69.2;71.8
74;44.2;54.4;62.6;66.4;68.0;70.0
75;44.1;54.2;62.4;65.1;67.9;71.1
76;37.9;55.8;59.5;63.3;65.2;68.6
77;40.9;52.5;58.6;65.3;67.7;69.8
78;43.6;53.7;61.7;64.4;67.2;70.4
79;43.6;53.6;61.6;66.3;67.0;68.0
